,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
146,Kol,7.1,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably.",27562.0,,112.0
147,Warrior Nun,6.9,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.",27554.0,,
148,After We Collided,5.2,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults.",27466.0,,105.0
149,The Last of Us: Part II,8.3,"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.",26982.0,,
150,Artemis Fowl,4.2,"Artemis Fowl, a young criminal prodigy, hunts down a secret society of fairies to find his missing father.",26703.0,,95.0
151,Chhapaak,5.1,"The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit.",26393.0,,120.0
152,Gangs of London,8.1,Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.,26352.0,,60.0
153,The Prom,5.9,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.,25918.0,,130.0
154,Host,6.5,"Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong.",25889.0,73.0,57.0
155,The Rental,5.7,Two couples rent a vacation home for what should be a celebratory weekend get-away.,25836.0,62.0,88.0
156,Thappad,6.8,Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?,25833.0,,142.0
157,The Banker,7.3,In the 1960s two African-American entrepreneurs hire a working-class white man to pretend to be the head of their business empire while they pose as a janitor and chauffeur.,25596.0,,120.0
158,Shingeki no Kyojin,9.5,"Eldian soldiers, both the cannon fodder and the chosen warriors, struggle to keep forward in the warfare when Marley's army clashes with the Alliance Forces of Mid-East.",25585.0,,24.0
159,Never Rarely Sometimes Always,7.4,A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.,25200.0,92.0,101.0
160,Bir Baskadir,8.5,"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will.",25170.0,,49.0
161,Tanhaji: The Unsung Warrior,7.6,"Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.",25166.0,,135.0
162,American Murder: The Family Next Door,7.2,"In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world.",24701.0,67.0,83.0
163,Relic,6.0,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",24671.0,77.0,89.0
164,The Lovebirds,6.1,A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.,24608.0,,86.0
165,Scoob!,5.7,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined.",24548.0,,93.0
166,Antebellum,5.8,Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,24331.0,,105.0
167,The Grudge,4.3,A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.,24251.0,,94.0
168,The Mandalorian,8.9,The Mandalorian is drawn to the Outer Rim in search of others of his kind.,23728.0,,52.0
169,Shadow in the Cloud,4.9,A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,23309.0,66.0,83.0
170,Away,6.6,An American astronaut struggles with leaving her husband and daughter behind to embark on a dangerous mission with an international space crew.,23224.0,,498.0
171,Fatman,5.9,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",23173.0,,100.0
